"Image","Actual word","Kernel size","Kernel type","Iterations","Without Filter","Opening","Closing","Erosion","Dilation","OC","CO","OCO","COC","Sharpened"
"5624.png","schools",2,0,1,"schools","schools","schools","schools",,"schools","schools","schools","schools","schools"
"5625.png","this",2,0,1,"this",,,"this",,,,,,
"5626.png","decided",2,0,1,,,,,,,,,,
"5627.png","employee",2,0,1,"empioyee","employee","employee","empioyee","employee","employee","employee","employee","employee","employee"
"5628.jpeg","nothing",2,0,1,"nothing","nothing","nothing","nothing","nothing","nothing","nothing","nothine","nothine","nothing"
"5629.png","signed",2,0,1,"signed","signed","signed","signed","signed","signed","signed","Signed","Signed","signed"
"563.png","(a)",2,0,1,,,,,,,,,,
"5630.jpeg","reassembled",2,0,1,"reassembled","reassembled","reassembled","reassembled","reassembled","reassembled","reassembled","reassembled","reassembled","reassembled"
"5631.png","process",2,0,1,"DFOCeSs","DFOCeSs","DFOCeSs","DFOCeSs","DFOCeSS","DrFOCeESS","DIFOCeESS","DrOocess","DrOcess","DFOCess"
"5632.jpeg","we \",2,0,1,,,,,,,,,,
"5633.jpeg","but",2,0,1,"but","but","but","but","but","bust","but","bist","bist","but"
"5634.jpeg","a",2,0,1,,,,,,,,,,
"5635.jpeg","THOSE",2,0,1,,,,,,,,,,
"5636.png",15,2,0,1,,,,,,,,,,
"5637.jpeg",79,2,0,1,,,,,,79,79,79,79,
"5638.png","in",2,0,1,"in","in","in","in","in",,,,,1
"5639.png","of",2,0,1,,,,,,,,,,
"564.png","(any",2,0,1,,,,,,"(any","(any","(any","(any",
"5640.png","?",2,0,1,,,,,,,,,,
"5641.jpeg","( once",2,0,1,"( once","( once","( once","( once","( once","( once","( once","( once","( once","( once"
"5642.png","for",2,0,1,"for","for","for","for","for","tOr","tor","fOr","fOr","for"
"5643.jpeg","his",2,0,1,"his","his","his","his","his","his","his","hic","hic","his"
"5644.jpeg","it",2,0,1,"if",,,"if",,,,,,"if"
"5645.png","about",2,0,1,,,,,,,,,,
"5646.jpeg","winds",2,0,1,"winds","winds","winds","winds","winds","winds","winds","winds","winds","winds"
"5647.jpeg","metallic",2,0,1,"metallic",,"metallic","metallic","metallic","metallic","metallic","metallic","metallic","metallic"
"5648.jpeg","modern",2,0,1,"modern","modern","modern","modern","modern","modern","modern","modern","modern","modern"
"5649.jpeg","hay",2,0,1,"hay","hay","hay","hay","hay","hay","hay","hay","hay","hay"
"565.jpeg","OF",2,0,1,,,,,,"OF","OF","OF","OF",
"5650.jpeg","and",2,0,1,"and","and","and","and","and","and","and","and","and","and"
"5651.png","break",2,0,1,,,,,,"Hhreak","Hhreak","hreak","hreak",
"5652.jpeg","wineglass",2,0,1,"wineglass","wineglass","wineglass","wineglass","wineglass","wineglass","wineglass","wineglass","wineglass","wineglass"
"5653.png","Culture",2,0,1,,,,,,,,,,
"5654.jpeg","one%",2,0,1,"one%~","one%","one%","one %","one %","one%","one%","aone%","one%","one%™"
"5655.png",8,2,0,1,,,,,,,,,,
"5656.png","deliver",2,0,1,,,,,,,,,,
"5657.png","the",2,0,1,,,,,,,,,,
"5658.jpeg","the",2,0,1,"the","the","the","the","the","the","the","the","the","the"
"5659.png","measures",2,0,1,,,,,,,,,,
"566.png","database.",2,0,1,,,,,,,,,,
"5660.jpeg","Over",2,0,1,"Over","Over","Over","Over","Over","Over","Over","Over","Over","Over"
"5661.png","from",2,0,1,,"from","from","from","from","from","from","from","from",
"5662.png","below",2,0,1,,"DeElOW","DeElOW",,"DEIOW","DNeEIOW","DNeEIOW","NeEIOW","NeEIOW",
"5663.jpeg","there",2,0,1,"there","there","there","there","there","there","there","there","there","there"
"5664.png",8,2,0,1,,,,,,,,,,
"5665.png","different",2,0,1,,"differant","differant","differant","different","different","different","different","different",
"5666.jpeg","my",2,0,1,"my",,"my","my",,,,,,"my"
"5667.jpeg","ENVOY",2,0,1,,,,,,,,,,
"5668.jpeg","SENSE",2,0,1,,,,,,,,,,
"5669.png","from",2,0,1,,"from","from",,"from","trom","trom","from","from",
"567.jpeg","it",2,0,1,"it","at","at","it","it","at","at",,,"it"
"5670.jpeg","OTHER",2,0,1,"OTHER","OTHER","OTHER","OTHER","OTHER","OTHER","OTHER","OTHER","OTHER","OTHER"
"5671.jpeg","real",2,0,1,"req|","req]","req","req","req","req |","req |","req]","req]","req|"
"5672.png","(a)",2,0,1,,,,,,,,,,
"5673.jpeg","papers",2,0,1,"papers","papers","papers","papers","papers","papers","papers","papers","papers","papers"
"5674.png","strategic",2,0,1,"Strategic","Strategic","Strategic","Strategic","Strategic","Strategic","Strategic","Strategic","Strategic","Strategic"
"5675.png","the",2,0,1,"the","the","the","the","the",,,,,"the"
"5676.jpeg","had",2,0,1,,,,,,,,,,
"5677.jpeg","wing",2,0,1,"WING","WwINg","wing","WING","WING","WING","WING","WING","WING","WING"
"5678.png","feature’.",2,0,1,,"s feature’.","s feature’.","s feature’.","s feature’.","e feature’.","e feature’.","e feature’","e feature’",
"5679.png","the",2,0,1,"the",,,,"the",,,,,"the"
"568.jpeg","GLADYS",2,0,1,,,,,,"GLADYS","GLADYS","GLADYS","GITLADYS",
"5680.png","that",2,0,1,,,,,,,,,,
"5681.png","the",2,0,1,,,,,,"tne","the",,,
"5682.png","What",2,0,1,,,,,,,,,,
"5683.jpeg","heard",2,0,1,"heard","heard","heard","heard","heard","heard","heard","heard","heard","heard"
"5684.png","the",2,0,1,,,,,,,,"the","the",
"5685.png","tough",2,0,1,"tougn",,,,"tougn",,,,,"tougn"
"5686.png","business",2,0,1,,"DNusiness","HDusiness","business",,"HuSsSINeSsS","HuUSINeSS","Husiness","Husiness",
"5687.jpeg","the",2,0,1,,"the","the","the",,"the","the","the","the",
"5688.png","is",2,0,1,,,,,,,,,,
"5689.png","surviving",2,0,1,"SUIVIVING","SUIrVIVING","SUIVIVING","SUIVIVING","SUIVIVING","SUrVIVING","SUrVIVING","SUrVIVING","SUrVIVING","SUIVIVING"
"569.jpeg","FALL",2,0,1,,,,,,,,,,
"5690.png","involved",2,0,1,"involved","involved","involved","involved","involved","involved","involved","involved","involved","involved"
"5691.jpeg","Tin",2,0,1,"Tin","Tin","Tin","Tin","Tin","Tin","Tin","Tin","Tin","Tin"
"5692.png","compulsory.",2,0,1,"compuisory.","compulsory.","compulsory.","compuisory.","compulsory.","compulsory.","compulsory.","compulsory.","compulsory.","compuisory."
"5693.jpeg","YEARS",2,0,1,,,,,,,,,,
"5694.jpeg","and",2,0,1,,"and","and",,"and","and","and",,,
"5695.png",6,2,0,1,,,,,,,,,,
"5696.jpeg","suggesting*",2,0,1,"suggesting *","suggesting*","suggesting*","suggesting*","suggesting *","suqgesting*","suqgesting*","suggesting*","suqgesting*","suggesting*"
"5697.png","a",2,0,1,,,,,,,,,,
"5698.jpeg","TO",2,0,1,"TO","TO","TO","TO","TO","TO","TO","TO","TO","TO"
"5699.jpeg","NATURES",2,0,1,"NATURES","NATLIRES","NATLIRES","NATURES","NATURES","NATLIRES","NATLIRES","NATLIRES","NATLIRES","NATURES"
"57.jpeg","this",2,0,1,"this",,,"this",,"this","this","thic","thic","this"
"570.jpeg","be",2,0,1,"be","be","be","be","he","he","he","he","he","be"
"5700.png","it",2,0,1,,,,,,,,,,
"5701.png","Hours)",2,0,1,"Hours}","Hours)","Hours)","Hours)","Hours)",,,,,"Hours}"
"5702.jpeg","WALKED",2,0,1,,,,,,,,,,
"5703.png","network",2,0,1,,,,,,,,,,
"5704.jpeg","be",2,0,1,"be","be","be","be","be","he","he","he","he","be"
"5705.jpeg","said",2,0,1,"said","said","said","said","said","said","said","saia","sania","said"
"5706.jpeg","choose",2,0,1,"choose","choose","choose","choose","choose","choose","choose","choose","choose","choose"
"5707.png","ongoing",2,0,1,"ongoing","ongoing","ongoing","ongoing","ongoing","ongoing","ongoing","ongoing","ongoing","ongoing"
"5708.png","direct",2,0,1,,,,,,,,,,
"5709.jpeg","gave",2,0,1,"gave","gave","gave","gave","gave","gave","gave","gave","gave","gave"
"571.jpeg","aim",2,0,1,"321m","aim","aim","21m","aim","a1Im","321m","21m","321m","21m"
"5710.png","Human",2,0,1,"muman","human","human","muman","human","human","human","human","human","ruman"
"5711.png","should",2,0,1,,,,,,,,,,
"5712.png","in",2,0,1,"tin","t in","t in","tin","tin","tin","t In","tin","tin","iin"
"5713.png","followed",2,0,1,,,,,,,,,,
"5714.jpeg","he",2,0,1,"he","he","he","he","he","he","he","he","he","he"
"5715.png","test",2,0,1,,,,,,,,,,
"5716.png","economy",2,0,1,"CCONOMY","CCOnomy","CCOnomy","ECONOMY","CCONOMY","economy","economy","eCOnomy","economy","CCONOMY"
"5717.jpeg","expression",2,0,1,"expression","expression","expression","expression","expression","expression","expression","exoression","exoression","expression"
"5718.png","for",2,0,1,"for","for","for","for","for","for","for","for","for","for"
"5719.jpeg","spared",2,0,1,"spared","soared","soared","spared","spared","soared","soared","spared","spared","soared"
"572.jpeg","CORN",2,0,1,,,,,,,,"CORN","CORN",
"5720.png","bad",2,0,1,,,,,,,,,,
"5721.png","P",2,0,1,,,,,,,,,,
"5722.jpeg","frightening",2,0,1,"frightening","frightening","frightening","frightening","frightening","frightening","frightening","frightening","frightening","frightening"
"5723.png","the",2,0,1,"the","the","the","the","the","the","the",,,"the"
"5724.jpeg","sort",2,0,1,"sort","sort","sort","sort","cort","cort","cort",,,"sort"
"5725.jpeg","religious",2,0,1,"religious","religious","religious","religious","religious","religious","religious","religious","religious","religious"
"5726.jpeg","get",2,0,1,"gel","gel","gel",,"gel","gel","gel","gel","gel","gel"
"5727.jpeg","ever",2,0,1,"ever","ever","ever","ever","ever","ever","ever","ePyer","ePyer","ever"
"5728.png","minimum",2,0,1,,,,,"minimum","Minimum","Minimum","Minimum","minimum",
"5729.jpeg","to",2,0,1,"to","tO","tO","to","to","TO","TO",,,"tO"
"573.jpeg","Ps",2,0,1,"Ps","Ps","Ps","Ps","Ps","Ps","Ps","Ps","Pcs","Ps"
"5730.jpeg","defend+",2,0,1,,,,,,,,,,
"5731.png","|",2,0,1,"(23705","7k","(2 OE","'235GEu","SEU",,,,,"aE"
"5732.jpeg","an",2,0,1,"an","on","or","on","an","ony","omy","on","Lin","dn"
"5733.png","System.",2,0,1,"System.","system.","system.","system.","system.","system.","system.","System.","system.","system."
"5734.jpeg","Blivens",2,0,1,"Blivens","Blivens","Blivens","Blivens","Blivens","Blinens","Blinens","Blinens","Blinens","Blivens"
"5735.png","you",2,0,1,"YOu","YOu","YOu","YOu","YOu","YOu","YOu","YOu","YOu","YOu"
"5736.jpeg","his",2,0,1,"his","his","his","his","his","hic","hic","pic","pic","his"
"5737.png","was",2,0,1,,,,,,,,,,
"5738.jpeg","made",2,0,1,"made","made","made","made","made","made","made","made","made","made"
"5739.jpeg","hillit",2,0,1,"Aillit","Aillit","Aillit","Aillit","Aillit","Aillit","Aillit","Agllit","Agllit","Aillit"
"574.jpeg","walls",2,0,1,"walls","walls","walls","walls","walls","walls","walls","wwall<","xwall<","walls"
"5740.png","the",2,0,1,"tne","tne","tne","the","tne","the","the","the","the","tne"
"5741.png","how",2,0,1,"ROW","ROW","OW","OW","ROW","HOW","HOW","OW","OW","ROW"
"5742.jpeg","neck",2,0,1,"neck","neck","neck","neck","neck","neck","neck","neck","neck","neck"
"5743.jpeg","from",2,0,1,"from","from","from","from","from","from","from","from","from","from"
"5744.jpeg","THE",2,0,1,"THE","THE","THE","THE","THE","THE","THE","THE","THE","THE"
"5745.jpeg","vessel",2,0,1,"vessel","vessel","vessel]","vessel","vessel]","vessel","vessel","vessel","vessel","vessel"
"5746.jpeg","more",2,0,1,"Wiore","WiOore","Wiore","wore","WHOTe","WiOoTe","VWiOTe","Wore","Wore","Wiore"
"5747.jpeg","up",2,0,1,"up","up","up","up","up","up","up","up","up","up"
"5748.jpeg","it;",2,0,1,,"it:","it:","tt:","tt:","if:","if:","it:","it:",
"5749.jpeg","AND",2,0,1,"AND","AND","AND","AND","AND","AND","AND","AND","AND","AND"
"575.jpeg","to",2,0,1,"to",,,"to",,,,,,"to"
"5750.png","Total",2,0,1,,,,,,,,,,
"5751.png","(1)",2,0,1,,,,,,,,,,
"5752.png","various",2,0,1,"various","various","various","Various","various","Various","Various","Various","Various","VATIOUS"
"5753.png","importance",2,0,1,"Importance","importance","importance","importance","importance","importance","importance","importance","importance","Importance"
"5754.jpeg","and",2,0,1,"and","and","and","and","and","and","and",,,"and"
"5755.jpeg","[ more",2,0,1,"| more","| more","| more","| more","| more","| more","| more","| more","| more","| more"
"5756.png","Answer",2,0,1,"Answe","Answe","Answe","Answe","Answe","Answe","Answe","Answe","Answe","Answe"
"5757.png","(a)",2,0,1,,,,,,,,,,
"5758.png","number",2,0,1,"Min pey","THT DeT","THUR DeT","HIRST","Mun pey","ney","TROT","NUMmDeyT","NUM DeT","sHUEFER ey"
"5759.jpeg","sprinkled",2,0,1,"sprinkled","Sprinkled","Sprinkled","sprinkled","Sprinkled","sprinkled","sprinkled","sprinkled","sprinkled","sprinkled"
"576.jpeg","was",2,0,1,"WdsS","Was","Was","Was","WAS","Was","Was","WAS","WAS","W/dIS"
"5760.jpeg","King",2,0,1,"King",,"Kine",,"Kine",,,,,"King"
"5761.jpeg","garbage'",2,0,1,"garbage’","garbage’","garbage’","garbage’","garbage’","garbage’","garbage’","garbage’","garbage’","garbage’"
"5762.png","letter",2,0,1,,,,,,"letter","letter","letter","letter",
"5763.png","issues",2,0,1,,"eisues","eisues",,"emsues","eimsues","eisues","eisues","e issues",
"5764.jpeg","that",2,0,1,"that","that","that","that","that","that","that","that","that","that"
"5765.png","""Gaps""",2,0,1,,"""Gaps""","""Gaps""","""Gaps""","""Gaps""","“Gaps'""","“Gaps'""","“Gaps'""","“Gaps'""","aps"""
"5766.png","in",2,0,1,"in","in","in","in","in",,,,,"in"
"5767.png","Product",2,0,1,,,,,,,,,,
"5768.jpeg","it",2,0,1,"it","it","it","it","it",,,,,"it"
"5769.png","issues",2,0,1,"issues","isslles","issies","issues","issues","issies","issies","issies","issies","issues"
"577.jpeg","quaintly",2,0,1,"quaintly","quaintly","quaintly","quaintly","quaintly","quaintly","quaintly","quaintly","quaintly","quaintly"
"5770.jpeg","over",2,0,1,"over","over","over","over","over","over","over","over","over","over"
"5771.png","Chip",2,0,1,,,,,,,,,,
"5772.png","product",2,0,1,"product","product","product","product","product","product","product","product","product","product"
"5773.png","Con.",2,0,1,"Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con.","Con."
"5774.png","to",2,0,1,,,,,,,,,,
"5775.jpeg","OF",2,0,1,,,,,,"OF","OF","OF","OF",
"5776.jpeg","company """,2,0,1,"ompany
c","ompany
c","company ""","company ""","ompany
c","ompany
c","ompany
c","ompany
c","ompany
c","company """
"5777.png","regards",2,0,1,"regards","regards","regards","regards","regards","regards","regards","regards","regards","regards"
"5778.png","cost/kg",2,0,1,"cost/Kg","cost/kg","cost/Kg","cost/kg","cost/Kg","cost/ka","cost/ka","cost/ka","cost/ka","cost/Kg"
"5779.jpeg","and",2,0,1,"and","and","and","and","and","and","and","and","and","and"
"578.png","in",2,0,1,"in","in","te","in?","in","1)","1)",,,"in"
"5780.jpeg","AM",2,0,1,"AM","AM","AM","AM","AM","AM","AM","AM","AM","AM"
"5781.png","Environmental",2,0,1,"Environmenta!","Eenvironmenta!","-nvironmenta!","Environmenta!","Environmenta!","E-nvironmenta","E-nvironmenta","Environmenta","Environmenta",
"5782.jpeg","live",2,0,1,"live","live","live","live","live","live","live","live","live","live"
"5783.png","Discuss",2,0,1,,"Discuss","Discuss",,"Discuss","Piscuss","Piscuss","Piscuse","Piscuse",
"5784.png","in",2,0,1,"amie","ein","ain","ain","a In","ein","ein","ein","ein","ain"
"5785.jpeg","quarrel",2,0,1,"quarrel","quarrel","quarrel","quarrel","quarrel","quarrel","quarrel","quarrel","quarrel","quarrel"
"5786.jpeg","us",2,0,1,"us","us","us","us","us","us","us","WSs","Ws","us"
"5787.jpeg","may",2,0,1,"may","may","may","may","may",,,"may","may","may"
"5788.jpeg","everything",2,0,1,"everything","everything","everything","everything","everything","everything","everything","everything","everything","everything"
"5789.jpeg","gathering",2,0,1,"gathering","gathering","gathering","gathering","gathering","gathering","gathering","gathering","gathering","gathering"
"579.png","Discuss",2,0,1,,,,,,"Pyiscuss","Pyiscuss","ryiscuss","ryiscuss",
"5790.jpeg","IS",2,0,1,,,,,,,,,,
"5791.jpeg","The",2,0,1,"The","The","The","The","The","The","The",,,"The"
"5792.jpeg","TIME",2,0,1,"TIME","TIME","TIME","TIME","TIME","TIME","TIME","TIME","TIME","TIME"
"5793.jpeg","you-",2,0,1,"YOU-","YOU-","YOU-","YOU-","VOU-","YOU-","YOU-","YOU-","YOU-","YOU-"
"5794.png","2nd",2,0,1,,,,,,,,,,
"5795.jpeg","he",2,0,1,"he","he","he","he","he","he","he","he","he","he"
"5796.jpeg","before",2,0,1,"before","before","before","before","before","hefore","hefore","hefore","hefore","before"
"5797.png","Marks",2,0,1,,,,,,,,,,
"5798.jpeg","of",2,0,1,,,,,,,,,,"of"
"5799.png","Write",2,0,1,,,,,,"Write","Write","\Virite","\VWirite",
"58.png",12,2,0,1,,,,,,,,,,
"580.png","To",2,0,1,,,,,,"tO","tO","tO","tO","To"
"5800.jpeg","of",2,0,1,,,,,,"of","of",,,
"5801.jpeg","woman",2,0,1,"woman","woman","woman","worman","woman","woman","woman","wornman","worman","woman"
"5802.png","to",2,0,1,,,,,,,,"tO","tO",
"5803.jpeg","(to",2,0,1,,,,,,,,,,
"5804.png","Pizza",2,0,1,"Pizz79q","Piz79q","Pizz7q","Pizza","Pi779","Pi7z79","Piz79","Pi779","Pi779","Pizza"
"5805.png","two",2,0,1,,,,,,,,"TWO","TWO",
"5806.jpeg","sceptre",2,0,1,"sceptre","sceptre","sceptre","sceptre","sceptre","sceptre","sceptre","sceptre","sceptre","sceptre"
"5807.png","the",2,0,1,"tne","the","ine","the","ne",,,,,"rhe"
"5808.png","following",2,0,1,"following","following","following","following","following","following","following","following","following","following"
"5809.png","of",2,0,1,"r of","r of","r of","r of","r of","r of","r of","r of","r of","r of"
"581.png","talented.",2,0,1,,,,,,,,,,
"5810.png","of",2,0,1,"OT","Ot","Ot","OT","ot","rey","rey i","reli","cyt","OT"
"5811.jpeg","nothing",2,0,1,"nothing","nothing","nothing","nothing","nothing","nothing","nothing","nothing","nothing","nothing"
"5812.jpeg","systematically",2,0,1,"systematically","systematically","systematically","systematically","systematically","systematically","systematically","systematically","systematically","systematically"
"5813.jpeg","bet",2,0,1,"bet","het","het","het","bet","het","het","het","het","bet"
"5814.jpeg","an",2,0,1,"an","an","an","an","an","an","an","an","an","an"
"5815.png","play",2,0,1,,,,,,,,,,
"5816.png","the",2,0,1,,,,,,,,,,
"5817.png","various",2,0,1,"VRFIOUS","VaTlOUs","VAaTlOUs","Various","VArlous","VBTIOUS","VBTIOUS","VENOUS","VENOUS","VENOUS"
"5818.png",7,2,0,1,,,,,,,,,,
"5819.png","Explain",2,0,1,"Explain","Explain","Explain","Explain","Explain","Explain","explain","Explain","Explain","Explain"
"582.png","laws",2,0,1,,,,,,,,"laws","laws",
"5820.png","(iii)",2,0,1,,,,,,,,,,
"5821.jpeg","The",2,0,1,"The","The","The","The","The","The","The","The","The","The"
"5822.png","examine",2,0,1,,"examine","examine",,"examine","examine","examine","examine","examine",
"5823.jpeg","time",2,0,1,"time","time","time",,"time",,,,,"time"
"5824.png","following",2,0,1,"following","following","following","following","following","following","following","following","following","following"
"5825.jpeg","sweet",2,0,1,"sweet","sweet","sweet","sweet","sweet","sweet","sweet","cweet","cweet","sweeft"
"5826.png","is",2,0,1,"1S","1S","iS","1S","1S","1S","1S","1S","1S","1S"
"5827.png","Audit",2,0,1,,,,,,,,,,
"5828.jpeg","forge",2,0,1,"forge","forge","forge","forge","forge","forge","forge","forge","forge","forge"
"5829.jpeg","Greer",2,0,1,"Greer","Greer","Greer","Greer","Greer","Greer","Greer","Greer","Greer","Greer"
"583.png","the",2,0,1,"the","the","the","the","the","the","the","the","the",
"5830.jpeg","whereupon",2,0,1,"whereupon","whereupon","whereupon","whereupon","whereupon","whereupon","whereupon","whereupon","whereupon","whereupon"
"5831.png","What",2,0,1,,,,,,,,,,
"5832.png","Marketing",2,0,1,,"rketing","rketing","Marketing","Marketi",,,,,"Marketing"
"5833.jpeg","CLIMB",2,0,1,"CLIMB","CLIAAB","CLIAAR","CLIAAB","CLIMAB","CHIMAR","CHIMAR","CIIAAR","CIIAAR","CLIbAR"
"5834.png","Graduate",2,0,1,,,,,,,,,,
"5835.jpeg","said",2,0,1,"said","said","said","said","said","alle","eid","eaic","eaic","said"
"5836.png","categories",2,0,1,"categories","categories","categories","categories","categories","categories","categories","categories","categories","categories"
"5837.png","P’s",2,0,1,"P's","D’c","D’c","D's","D's","D’c","D’c","D’c","D’c","D's"
"5838.jpeg","me",2,0,1,"Wie","We","We","Wie","We","Wie","Wie","Ve","Ve","Ye"
"5839.png","above",2,0,1,"above","ahove","ahove","above","above","ahove","ahove","above","above","above"
"584.png","(2)",2,0,1,,,,,,,,,,
"5840.png","Explain",2,0,1,"Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain","Explain"
"5841.png","How",2,0,1,"OW","HOW","HOW","HOW","OW","HOW","HOW","How","How","“OW"
"5842.png","out",2,0,1,,,,,,,,,,
"5843.png","agreed",2,0,1,,,,,,,,,,
"5844.png","Earlier",2,0,1,"Fariier","Farlier","Fariier","Harrier","Farlier","—arier","—arier","—oarier","—arier","KHarlier"
"5845.jpeg","LUI",2,0,1,"| U]","LUI","IU]","LU]","LU]","mel","mel","It]","1 tJ]","LUI"
"5846.png","criticisms",2,0,1,,,,,,,,"criticisms","criticisms",
"5847.jpeg","will",2,0,1,,,,,,,,,,
"5848.png","Process",2,0,1,,,,,,"Mrocess","Mrocess","Process","Yrocess",
"5849.png","an",2,0,1,,,,,,,,,,
"585.png","management",2,0,1,"management","management","management","management","management","management","management","management","management","management"
"5850.jpeg","one",2,0,1,"one","one","one",,"one","one","one","one","one","one"
"5851.png","and",2,0,1,"and","and","and","and","and","and","and","and","and","and"
"5852.jpeg","November",2,0,1,"November","November","November","November","November","November","November","November","November","November"
"5853.jpeg","chien",2,0,1,"chien","chien","chien","chien","chien","chien","chien","chien","chien","chien"
"5854.png","to",2,0,1,,,,,,,,,,
"5855.png","dimensions",2,0,1,"dimensions","dimensions","dimensions","dimensions","dimensions","dimensions","dimensions","dimensions","dimensions","dimensions"
"5856.png",2,2,0,1,,,,,,,,,,
"5857.png","(a)",2,0,1,,,,"(a}",,"(a}","(a}","(a)","(a)",
"5858.png","and",2,0,1,"and","ang","ang","and","and","ang","ang","and","ano","BNO"
"5859.jpeg","He",2,0,1,,"He",,,,,,,,"He"
"586.jpeg","(From",2,0,1,,,,,,"(From","(From","(From","(From",
"5860.png","on",2,0,1,,,,,,,,,,
"5861.jpeg","share",2,0,1,"share","share","share","share","share","share","share","chare","share","share"
"5862.png","bridge-up",2,0,1,"bridge-up","bridge-up","bridge-up","bridge-up","bridge-up",,,,,"bridge-up"
"5863.png","in",2,0,1,"in","in","le","in","in",,,,,"in"
"5864.jpeg","mais",2,0,1,,,,,"mais",,,,,"mais"
"5865.jpeg","wilful",2,0,1,"wilful","wilfry|","wuilfty|","wilful","wilt","vailfr sl]","ian)","itanl","ibaa","wiltcyl"
"5866.png","investment",2,0,1,,"investment","investment",,"investment","investment","investment","investment","investment","investment"
"5867.jpeg","ROOM",2,0,1,"ROOM","ROOM","ROOM","ROOM","ROOM","ROOM","ROOM","ROOM","ROOM","ROOM"
"5868.png","service",2,0,1,"service","service","service","service","service","service","service","service","cearyvice","service"
"5869.jpeg","profoundly:",2,0,1,"profoundly:","profoundly:","orofoundly:","profoundly:","profoundly:","profoundly:","profoundly:","profoundly:","profoundly:","orofoundly:"
"587.png","pens",2,0,1,"pens","pens","pens","pens","pens","pens","pens",,,"pens"
"5870.jpeg","EXPLAIN",2,0,1,"EXP! AIN","CYP AIN","CYP! AIN","EYP! AIN","EXP! AIN","CYP AIN","CYP! AIN","CYP AIN","CYP! AIN","EXPLAIN"
"5871.png","strategic",2,0,1,"Strategic","Strategic","Strategic","Strategic","strategic","Strategic","Strategic","Strategic","Strategic","strategic"
"5872.png","copy",2,0,1,,,,,,,,,,
"5873.jpeg","Who",2,0,1,"Who","Who","Who","Who","Who","Who","Who",,,"Who"
"5874.png","tussle",2,0,1,,,"tussie",,,"thissie","thissie","thissie","thissle",
"5875.png","one",2,0,1,,,,,,,,,,
"5876.png","India.",2,0,1,,,,,,,,,,
"5877.png","“Due",2,0,1,,,,,,,,"“hue","“Tytie",
"5878.png","security.",2,0,1,"security.","security.","security.","security.","security.","security.","security.","security.","security.","security."
"5879.png","blanks",2,0,1,,,,,,,,,,
"588.jpeg","they",2,0,1,"they","they","they","they","they","they","they","they","they","they"
"5880.jpeg","These",2,0,1,"These","These","These","These","These","Thece","Thece","Thece","Thece","These"
"5881.jpeg","back%",2,0,1,"back","hack","hack","hack","hack","hack?","hack?","hacks","hacks","hack%"
"5882.jpeg","IN",2,0,1,,,,,,,,,,
"5883.png","tremendous",2,0,1,"tremendous","tremendous","tremendous","tremendous","tremendous","tremendous","tremendous","tremendous","tremendous","tremendous"
"5884.png","Face",2,0,1,,,,,,,,"-ace","Hace",
"5885.png","What",2,0,1,,,,,,,,,,
"5886.jpeg","THOSE",2,0,1,"THOSE","THOSE","THOSE","THOSE","THOSE","THOSE","THOSE","THOSE","THOSE","THOSE"
"5887.png","market.",2,0,1,"market.","market.","market.","market.","market.","market.","market.","market","market","market."
"5888.jpeg","to",2,0,1,"te","to","tr","tr","to","to","to","+o","+o","tr"
"5889.jpeg","that",2,0,1,"that","thot","that","thot","thot","that","that","thot","thot","thot"
"589.jpeg","AND",2,0,1,"AND","AND","AND","AND","AND","ANTD","ANTD","ANT)","ANT)","AND"
"5890.png","vaiue",2,0,1,,"VaiLiG","VaiLiC",,"VaiLie","VAILIC","VAILIC","VaiILiC","VaiILiE","YaAaiLic"
"5891.png","of",2,0,1,,,,,,,,,,
"5892.jpeg","day",2,0,1,"day","day","day","day","day","day","day","day","day","day"
"5893.png","Radio.",2,0,1,,,,,,,,,,
"5894.jpeg","HEAVILY",2,0,1,,,,,,,,,,
"5895.jpeg","or",2,0,1,"or","or","or","or","or","or","or",,,"or"
"5896.jpeg","We",2,0,1,"We","We","We","We","We","Wea","Wea","We","We","We"
"5897.png","Nepal,",2,0,1,"Nepal,","Nepal,",,,"Nepal,",,,,,
"5898.jpeg","""walk",2,0,1,"""oy al Pb","""oy al",,"""Noy al",,"Nagy al bh","Nagy al bh","Nagy adh","Nagy adh","""oy al PB"
"5899.png","a",2,0,1,,,,,,,,,,
"59.jpeg","EMOTION",2,0,1,,,,,,,,,,
"590.png","Define",2,0,1,,,,,,,,,,
"5900.png","Indian",2,0,1,,,,,,"Indian","Indian","Indian","Indian",
"5901.png","All",2,0,1,,,,"All",,,,,,
"5902.png","durability",2,0,1,"durability","durability","durability","durability","durability","durability","durability","durability","durability","durability"
"5903.png","share",2,0,1,"char","char","ehar","char","char","shar","shar","ehar","ehar","char"
"5904.png","in",2,0,1,"in",,,,"in",,,,,"in"
"5905.jpeg","sales \",2,0,1,"sales \","sales \","sales \","sales \","sales \","sqles \","sqles \","eagles \","eqles \","sales \"
"5906.jpeg","AND",2,0,1,"AND","AND","AND","AND","AND","AND","AND","AND","AND","AND"
"5907.png","Mar.-12-150",2,0,1,,,,,,,,,,
"5908.png","policy",2,0,1,"DOLICY","policy","policy","DOLICY","DOLCY","policy","policy","policy","policy","OOlICY"
